"Ref INS","INE","Municipi","Comarca","Instal·lació","Ubicació UTMX","Ubicació UTMY","Latitud","Longitud","Tipus propietat","Tipus gestió","Titularitat","URL CEEC","CAM","ATL","PAL","PCO","POL","PAV","TEN","PAD","SAL","ESQ","FRO","PET","CON","HIP","GOL","CIR","ROC","SIN","URB","NAT","BIC","ITI","VES","GRA","MAG","SER","AER","POR","REF","COM","Georeferència"
"0801930501","080193","Barcelona","Barcelonès","CARRIL BICI AV. CARDENAL VIDAL I BARRAQUER","429055","4586814","41,42975881","2,150901069","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/19602","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","POINT (2.150901069 41.42975881)"
"1707890001","170789","Ger","Cerdanya","PISTA MUNICIPAL ESCOLES","405223","4695977","42,41031317","1,848171746","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/20127","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","POINT (1.848171746 42.41031317)"
"0812130065","081213","Mataró","Maresme","POLIESPORTIU MUNICIPAL JAUME PARERA I LEON","453098","4599635","41,54700189","2,437643159","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/26729","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","0","0","0","0","POINT (2.437643159 41.54700189)"
"0801931473","080193","Barcelona","Barcelonès","ANYTIME FITNESS PEDRALBES CENTER","427190","4582130","41,38740522","2,129145988","Privat esportiu","Privat esportiu","Privada esportiva","https://equipaments.esport.gencat.cat/ceeree/equipaments/20110","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","POINT (2.129145988 41.38740522)"
"0801930037","080193","Barcelona","Barcelonès","COMUNITAT DEL C. D'ENRIC GIMÉNEZ, 9-15","426390","4582984","41,39502401","2,119474768","Privat residencial","Privat residencial","Privada residencial i turística","No publicada","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (2.119474768 41.39502401)"
"4316340089","431634","Vendrell, el","Baix Penedès","CARRIL BICI AV. PARLAMENT DE CATALUNYA","377764","4560660","41,18807948","1,542436259","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/20196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","POINT (1.542436259 41.18807948)"
"2503710007","250371","Avellanes i Santa Linya, les","Noguera","PUNT D'INFORMACIÓ DE SENDERS VILANOVA DE LA SAL","316376","4638653","41,87848955","0,7870567301","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/30084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","POINT (0.7870567301 41.87848955)"
"4301920010","430192","Ascó","Ribera d'Ebre","PUNT D'INFORMACIÓ DE SENDERS","295890","4562247","41,18587739","0,5663008902","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/24595","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","POINT (0.5663008902 41.18587739)"
"4312330038","431233","Reus","Baix Camp","MINI TENNIS PL. ANTONI CORREIG I MASSÓ","340526","4557132","41,14984315","1,099528718","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/20648","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (1.099528718 41.14984315)"
"4315540024","431554","Tortosa","Baix Ebre","PISTA POLIESPORTIVA REMOLINS","291265","4521333","40,81648269","0,5250252925","Ajuntament","Ajuntament","Pública directa","https://equipaments.esport.gencat.cat/ceeree/equipaments/20325","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","POINT (0.5250252925 40.81648269)"
